Genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,combrank
S100Z,1.210860978,1.116666265,0.142581571,5.71E-16,5.03E-15,5.03E-15
ALDH1A1,501.162477,0.789023423,0.099693229,5.25E-16,4.64E-15,4.64E-15
OGN,488.1676984,1.054721722,0.15876725,5.11E-16,4.52E-15,4.52E-15
TTLL9,28.07739543,0.922950179,0.117261865,6.16E-16,4.38E-15,4.38E-15
LOXL1,1209.634691,0.626092843,0.078851541,5.61E-16,3.98E-15,3.98E-15
RND1,440.1758351,0.881285115,0.111306471,4.45E-16,3.95E-15,3.95E-15
CCDC8,322.1270218,0.818692553,0.103081413,3.97E-16,3.56E-15,3.56E-15
SPEF1,59.63942435,1.072551783,0.13545288,3.67E-16,3.31E-15,3.31E-15
SPNS3,12.08391647,1.059581236,0.133494772,3.12E-16,3.08E-15,3.08E-15
ASPA,8.969674773,1.025494395,0.129137498,3.13E-16,2.84E-15,2.84E-15
ZNF688,256.3433815,0.602303204,0.075158867,3.03E-16,2.76E-15,2.76E-15
NRXN2,83.33208913,0.806827272,0.101105783,2.99E-16,2.73E-15,2.73E-15
DNAH1,134.8318113,0.588019882,0.073007341,2.56E-16,2.45E-15,2.45E-15
WTIP,196.2755803,0.661333404,0.082427303,2.58E-16,2.37E-15,2.37E-15
CDH23,96.23369138,0.81485333,0.101325902,1.80E-16,1.67E-15,1.67E-15
CXCL2,45.65670681,1.283917878,0.160525021,1.70E-16,1.58E-15,1.58E-15
PALM,694.0578925,0.743469127,0.092040472,1.36E-16,1.47E-15,1.47E-15
C17orf107,107.0356942,0.730999059,0.090514106,1.53E-16,1.43E-15,1.43E-15
CEL,52.84063993,2.010092121,0.15299677,1.42E-16,1.34E-15,1.34E-15
SGCA,6.630166008,1.072516614,0.1656589,1.42E-16,1.33E-15,1.33E-15
GPX3,1530.799686,0.891853678,0.110126295,1.02E-16,1.23E-15,1.23E-15
TSSK1B,1.195514831,1.232903278,0.153843958,1.28E-16,1.21E-15,1.21E-15
GADD45B,1279.94796,0.603950074,0.074255427,1.26E-16,1.12E-15,1.12E-15
ADRB2,54.31984779,0.827402569,0.10225408,1.16E-16,1.10E-15,1.10E-15
CABP1,4.867496781,0.93804081,0.116264774,1.11E-16,1.06E-15,1.06E-15
IL33,244.5579675,1.118456667,0.138158302,8.55E-17,9.74E-16,9.74E-16
TSHZ2,98.4137435,0.857059295,0.105657951,9.63E-17,9.59E-16,9.59E-16
C10orf54,613.3883375,0.605682885,0.074167835,9.60E-17,9.15E-16,9.15E-16
HIPK4,4.184930423,0.795214581,0.098130111,9.55E-17,9.12E-16,9.12E-16
CCDC80,3430.125114,0.740165275,0.091291832,8.85E-17,8.49E-16,8.49E-16
ABCB5,7.731379811,1.57382863,0.194199872,6.84E-17,6.62E-16,6.62E-16
EPOR,103.7482539,0.635126899,0.077048432,4.61E-17,4.72E-16,4.72E-16
CCDC24,326.245353,0.654218816,0.078871314,2.86E-17,3.90E-16,3.90E-16
NEURL2,18.83332563,0.643333986,0.077639635,3.07E-17,3.06E-16,3.06E-16
ACBD4,234.3547261,0.660673421,0.079669466,2.99E-17,2.98E-16,2.98E-16
ZNF692,651.1265717,0.599115914,0.071824841,2.30E-17,2.67E-16,2.67E-16
MYL5,163.0144349,0.664554202,0.079297937,1.37E-17,1.40E-16,1.40E-16
ABCA6,103.4563241,0.917254928,0.110048788,1.36E-17,1.40E-16,1.40E-16
GGT5,841.9209055,0.64638328,0.07702767,1.32E-17,1.36E-16,1.36E-16
SCN3A,15.97765196,1.226212471,0.14745501,1.28E-17,1.32E-16,1.32E-16
FIGF,20.84079074,1.476987699,0.178328416,1.58E-17,1.32E-16,1.32E-16
IL17D,16.53935833,0.778909462,0.093005456,1.17E-17,1.22E-16,1.22E-16
PDGFD,450.6581703,0.688186838,0.08212976,1.09E-17,1.14E-16,1.14E-16
SLC17A7,13.33813841,0.896638155,0.106616573,7.97E-18,8.44E-17,8.44E-17
CPT1B,345.7069185,0.671501652,0.07948731,7.67E-18,8.14E-17,8.14E-17
KIF13B,1811.795069,0.740965018,0.088162786,7.29E-18,7.76E-17,7.76E-17
WDR90,800.4861259,0.593157158,0.069851134,6.04E-18,6.50E-17,6.50E-17
SNHG8,763.6873528,0.647185131,0.076083407,4.83E-18,6.03E-17,6.03E-17
KIF26A,98.14461972,0.787514814,0.09306356,5.53E-18,5.96E-17,5.96E-17
IGFBP6,203.6369076,0.846396414,0.100057815,5.24E-18,5.92E-17,5.92E-17
RASIP1,237.2340371,0.699458996,0.082253911,4.48E-18,5.80E-17,5.80E-17
NOSTRIN,493.3349654,0.942082829,0.111600625,5.06E-18,5.48E-17,5.48E-17
TLE2,682.1478112,0.672812305,0.07897902,4.12E-18,5.15E-17,5.15E-17
JUND,2989.487284,0.623996218,0.073294986,4.66E-18,5.08E-17,5.08E-17
HPX,505.3148847,1.452163783,0.172238349,4.52E-18,5.03E-17,5.03E-17
GPAM,564.9392412,0.654314017,0.076811105,4.34E-18,4.75E-17,4.75E-17
IGDCC4,84.29872727,0.7367131,0.086835505,4.70E-18,4.15E-17,4.15E-17
SNCA,43.82202777,0.703913001,0.082764314,4.27E-18,3.81E-17,3.81E-17
NDN,295.9059277,0.659975987,0.076926814,2.48E-18,2.78E-17,2.78E-17
CD300LG,55.53346064,1.657183794,0.1953406,2.83E-18,2.55E-17,2.55E-17
ALDH1L1,44.78786889,1.320300715,0.183490142,2.24E-18,2.52E-17,2.52E-17
TMEM37,181.1673085,0.736934567,0.085928895,2.08E-18,2.46E-17,2.46E-17
PRAM1,40.40197927,0.764617133,0.089343004,2.50E-18,2.27E-17,2.27E-17
STX1B,44.31299376,0.831859393,0.096996434,1.95E-18,2.21E-17,2.21E-17
NGFR,328.9304885,1.142600478,0.133327117,1.51E-18,2.06E-17,2.06E-17
CIDEC,167.5325532,1.812184324,0.21164436,1.44E-18,1.73E-17,1.73E-17
MAPK8IP3,973.7745575,0.609536115,0.070407946,1.43E-18,1.64E-17,1.64E-17
SPTBN5,171.6044211,1.004717867,0.116168915,8.51E-19,9.98E-18,9.98E-18
C21orf2,407.970086,0.583828004,0.066760874,7.10E-19,8.36E-18,8.36E-18
NPFF,9.04124522,0.935660546,0.10768246,5.67E-19,7.10E-18,7.10E-18
THBD,605.0748801,0.669154462,0.076351444,4.80E-19,6.57E-18,6.57E-18
STAB1,1034.865003,0.608412785,0.069401073,5.49E-19,6.54E-18,6.54E-18
AQP7,57.50418166,1.697229155,0.19552547,5.12E-19,6.11E-18,6.11E-18
EXOC3L2,70.93589531,0.595767276,0.068023185,5.93E-19,5.72E-18,5.72E-18
NACA2,70.39042339,0.874031265,0.09936471,2.61E-19,3.21E-18,3.21E-18
CCDC157,56.92878846,0.667314617,0.075568547,2.52E-19,3.11E-18,3.11E-18
MAMDC4,61.26614556,0.923757096,0.104961229,2.38E-19,2.94E-18,2.94E-18
CEBPD,839.3232555,0.85709024,0.097207622,2.24E-19,2.77E-18,2.77E-18
KCNE1,21.84469936,1.363569078,0.155599517,2.55E-19,2.54E-18,2.54E-18
ALDH1A2,44.86790006,0.895882714,0.125903532,2.02E-19,2.52E-18,2.52E-18
HLF,172.7710067,1.106733732,0.12559555,1.82E-19,2.38E-18,2.38E-18
RAMP2,529.330898,0.719628153,0.081246694,1.90E-19,2.38E-18,2.38E-18
CORO2B,68.11016912,0.760173402,0.085835431,1.85E-19,2.32E-18,2.32E-18
TGFBR2,2090.237475,0.635931577,0.071238613,1.24E-19,1.98E-18,1.98E-18
AMT,90.83463122,0.866121165,0.097634299,1.36E-19,1.72E-18,1.72E-18
FMOD,3003.682207,0.975669507,0.110133811,1.15E-19,1.47E-18,1.47E-18
SVEP1,488.923736,0.91137792,0.10254714,1.10E-19,1.41E-18,1.41E-18
HSD17B13,4.714165976,1.652241583,0.18645834,9.51E-20,1.22E-18,1.22E-18
PRICKLE4,82.81589808,0.914892616,0.102735107,9.52E-20,1.22E-18,1.22E-18
ECHDC2,748.8775591,0.644730507,0.071831656,7.44E-20,9.71E-19,9.71E-19
ABCG2,77.70350947,0.90094439,0.100708692,6.70E-20,8.78E-19,8.78E-19
GJC2,31.59211249,0.821848864,0.091713739,6.27E-20,6.65E-19,6.65E-19
EXD3,217.7398557,0.634108682,0.070277681,4.99E-20,6.62E-19,6.62E-19
MST1,92.84450914,0.971149185,0.108260071,4.94E-20,6.56E-19,6.56E-19
GLI2,86.88641092,0.764822928,0.085031621,4.88E-20,6.49E-19,6.49E-19
TTC23L,18.08786557,0.988226655,0.109685794,4.52E-20,6.04E-19,6.04E-19
KLF4,587.3869578,0.802501844,0.088908154,3.71E-20,5.72E-19,5.72E-19
DMPK,684.4762003,0.616482807,0.068114252,3.39E-20,5.29E-19,5.29E-19
