"","V1","pvals_Basal","pvals_Basal_myo","pvals_L11","pvals_L12","pvals_L2"
"163","EAF1",0.28828,0.47303,0.08134,0.01809,0.43256
"164","ECM1",0.36516,0.02754,0.74623,0.21847,0.54298
"165","EEF1A2",0.98832,0.76991,0.67137,0.70252,0.00493
"166","EFNA5",0.34095,0.32649,0.04391,0.21299,0.4658
"167","EFS",0.32114,0.03616,0.38811,0.55526,0.51892
"168","EHBP1",0.20063,0.0431,0.16804,0.21573,0.46981
"169","ELF4",0.34531,0.42039,0.30099,0.02156,0.13413
"170","ELF5",0.72709,0.72301,0.00035,0.53682,0.70218
"171","ELOVL2",0.84326,0.84444,0.79245,0.79041,0.02457
"172","EN1",0.64855,0.61147,0.55897,0.04642,0.01446
"173","ENPP1",0.50616,0.42371,0.56689,0.678,0.00093
"174","ERBB4",0.81574,0.86756,0.713,0.83606,0.00344
"175","ESR1",0.82155,0.82633,0.30376,0.6914,0.00018
"176","ETNK2",0.44017,0.00828,0.46761,0.52024,0.39083
"177","EXD2",0.43537,0.38563,0.33654,0.29081,0.03363
"178","F2R",0.28317,0.38137,0.0337,0.45848,0.32037
"179","FABP7",0.5689,0.69974,0.02118,0.68753,0.71127
"180","FAH",0.40378,0.30642,0.0033,0.30799,0.32885
"181","FAM107A",0.70763,0.70814,0.01462,0.65224,0.69377
"182","FAM120AOS",0.27813,0.68658,0.20107,0.08376,0.0446
"183","FAM127B",0.00793,0.06504,0.55778,0.48927,0.48363
"184","FAM136A",0.14944,0.16494,0.18064,0.27509,0.04758
"185","FAM13B",0.31223,0.26199,0.36339,0.23837,0.03997
"186","FAM171A1",0.2513,0.01144,0.10157,0.04726,0.64009
"187","FAM174B",0.77499,0.74864,0.35427,0.23367,0.00172
"188","FAM63A",0.24813,0.0144,0.22686,0.21711,0.39331
"189","FBP1",0.785,0.78135,0.80791,0.84628,0.00054
"190","FBXO38",0.4299,0.19544,0.53853,0.03288,0.03277
"191","FBXO45",0.42529,0.44983,0.46072,0.02625,0.07909
"192","FCHO2",0.24719,0.37495,0.53386,0.03445,0.21303
"193","FEM1C",0.51911,0.72398,0.04256,0.02159,0.08209
"194","FEN1",0.27293,0.42445,0.10393,0.24838,0.02692
"195","FGD3",0.73436,0.54915,0.7429,0.75688,0.00745
"196","FMNL2",0.04936,0.055,0.38463,0.03516,0.4752
"197","FOXA1",0.79255,0.78528,0.86947,0.61524,4e-05
"198","FOXC1",0.03457,0.07487,0.03631,0.39602,0.65018
"199","FOXM1",0.00053,0.32924,0.53195,0.6486,0.5449
"200","FRMD4A",0.32461,0.05213,0.04236,0.37208,0.5829
"201","FRS2",0.1301,0.35279,0.17018,0.02782,0.10555
"202","FUCA1",0.47247,0.64543,0.0134,0.13226,0.12152
"203","FUT8",0.19522,0.26314,0.51051,0.48467,0.00481
"204","FXYD6",0.11789,0.04127,0.70113,0.68525,0.69762
"205","FYCO1",0.43237,0.26317,0.21864,0.14658,0.03653
"206","FZD4",0.1896,0.01974,0.47051,0.54208,0.5417
"207","G6PC3",0.09582,0.04492,0.40867,0.43185,0.39009
"208","GABRP",0.38253,0.66581,0.00041,0.40805,0.66886
"209","GALNT10",0.02636,0.01753,0.68275,0.43577,0.31412
"210","GALNT6",0.64513,0.64017,0.62547,0.68711,0.00233
"211","GALNT7",0.54853,0.52267,0.29708,0.26984,0.00348
"212","GBP5",0.53949,0.30855,0.02936,0.19554,0.65214
"213","GCNT2",0.69776,0.70048,0.00746,0.2767,0.17401
"214","GFRA1",0.20165,0.59511,0.42067,0.52392,0.00205
