Genes,log2FoldChange,padj,D_Basal_EvsT,D_Basal_myoepithelial_EvsT,D_Luminal_1_1_EvsT,D_Luminal_1_2_EvsT,D_Luminal_2_EvsT,Phi_Basal_TvsE,Phi_Basal_myoepithelial_TvsE,Phi_Luminal_1_1_TvsE,Phi_Luminal_1_2_TvsE,Phi_Luminal_2_TvsE,Phi_Basal_EvsT,Phi_Basal_myoepithelial_EvsT,Phi_Luminal_1_1_EvsT,Phi_Luminal_1_2_EvsT,Phi_Luminal_2_EvsT,log2FC_Basal_EvsT,log2FC_Basal_myoepithelial_EvsT,log2FC_Luminal_1_1_EvsT,log2FC_Luminal_1_2_EvsT,log2FC_Luminal_2_EvsT,LOG(padj)
IFT88,0.865107938,9.43E-58,2.77E-07,1.18E-06,4.46E-07,1.97E-06,5.33E-06,4.38E-07,4.01E-07,5.01E-07,6.80E-07,5.00E-07,7.16E-07,1.58E-06,9.47E-07,2.65E-06,5.83E-06,0.70722619,1.97528872,0.917534792,1.962738861,3.543681267,57.02548831
CPA3,2.379336464,9.45E-58,4.29E-05,3.72E-05,2.90E-05,3.96E-05,2.07E-05,7.59E-07,6.53E-07,8.58E-07,1.07E-06,7.77E-07,4.37E-05,0.000037836,2.99E-05,4.07E-05,2.15E-05,5.846139228,5.855583073,5.121938479,5.24824187,4.788844984,57.02456819
CDK17,0.875995839,1.25E-57,0.000200284,6.38E-05,0.000195206,0.000102556,0.000130901,6.28E-06,3.64E-06,5.86E-06,4.10E-06,4.46E-06,0.000206559,6.74E-05,0.000201065,0.000106651,0.000135366,5.040732577,4.21159561,5.100851397,4.702840909,4.92215191,56.90308999
GIPR,2.4000254,1.53E-57,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,56.81530857
GPR81,1.965355197,1.63E-57,5.47E-05,4.43E-05,0.000057279,6.70E-05,3.94E-05,1.02E-06,1.03E-06,1.13E-06,1.38E-06,1.22E-06,5.58E-05,4.53E-05,5.84E-05,6.84E-05,0.000040583,5.765507113,5.463938644,5.690919869,5.62985083,5.056170818,56.7878124
MREG,1.098447331,1.73E-57,3.86E-05,0.000148432,0.000119015,0.00041392,0.000177556,1.89E-06,2.84E-06,2.90E-06,5.39E-06,3.81E-06,4.05E-05,0.000151275,0.000121918,0.000419306,0.000181366,4.423068968,5.733838973,5.392138277,6.282749904,5.572957857,56.7619539
PTPLAD1,0.996864886,2.19E-57,0.00002032,0.000013456,0.000019459,0.000027428,-1.90E-06,0.000190537,0.000178339,0.000201707,0.000232559,0.000127813,0.000210857,0.000191795,0.000221166,0.000259987,0.000125915,0.146193738,0.104942878,0.132868464,0.160842714,-0.021584423,56.65955589
LRRC50,2.448511989,2.62E-57,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,56.58169871
ANKMY1,0.9221096,3.01E-57,-1.38E-07,6.31E-07,-1.35E-07,5.98E-08,-1.51E-07,3.73E-07,3.38E-07,4.29E-07,5.81E-07,4.25E-07,2.34E-07,9.70E-07,2.94E-07,6.40E-07,2.74E-07,-0.670273067,1.51874608,-0.54555174,0.141351641,-0.631951541,56.5214335
ATP6AP1L,1.167019603,3.06E-57,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,56.51427857
KRT18,1.521154988,3.10E-57,-2.75E-06,-3.35E-06,-5.65E-06,-0.000001756,-0.000045469,9.75E-05,5.44E-05,0.000263825,0.000209619,0.000393502,9.47E-05,0.00005102,0.00025818,0.000207863,0.000348033,-0.0412784,-0.091787731,-0.031204034,-0.012136511,-0.177146861,56.50863831
ATP1A4,3.379125823,7.84E-57,-1.24E-07,-1.39E-07,-7.79E-08,2.83E-08,7.86E-07,3.35E-07,3.03E-07,3.81E-07,5.20E-07,3.78E-07,2.11E-07,1.65E-07,3.03E-07,5.48E-07,1.16E-06,-0.664695883,-0.880798848,-0.329868701,0.07658664,1.623280187,56.10568394
RABL3,0.745969774,9.46E-57,2.62E-05,0.00002765,9.51E-06,0.000143604,0.000356748,1.32E-06,1.23E-06,1.45E-06,2.21E-06,0.000003254,2.75E-05,2.89E-05,1.10E-05,0.000145811,0.000360002,4.386187685,4.554126832,2.91980154,6.045934492,6.78964686,56.02410886
OSCP1,1.006386537,9.56E-57,1.18E-06,2.95E-07,1.80E-06,2.51E-07,5.47E-06,4.38E-07,3.99E-07,4.99E-07,6.80E-07,4.95E-07,1.61E-06,6.94E-07,2.30E-06,9.31E-07,5.97E-06,1.881561976,0.798739929,2.202742513,0.454141338,3.590467003,56.01954211
CST4,5.221135746,1.15E-56,6.72E-06,8.34E-06,1.39E-05,1.24E-05,4.88E-06,4.84E-07,4.42E-07,5.52E-07,7.50E-07,5.49E-07,7.20E-06,8.79E-06,1.44E-05,1.31E-05,5.43E-06,3.895896345,4.311593681,4.706952178,4.128289277,3.306318788,55.93930216
ELOVL2,2.949182407,1.33E-56,-2.84E-07,-2.07E-07,5.42E-07,-6.77E-07,0.000379014,1.13E-06,8.94E-07,1.25E-06,1.79E-06,5.31E-06,8.45E-07,6.87E-07,1.80E-06,1.12E-06,0.000384325,-0.418259286,-0.380135224,0.518005527,-0.683589927,6.177079968,55.87614836
LRRC48,1.964793578,1.34E-56,-1.38E-07,2.50E-07,1.55E-07,-2.27E-07,1.12E-07,3.78E-07,3.41E-07,4.33E-07,5.87E-07,4.25E-07,2.40E-07,5.91E-07,5.88E-07,3.60E-07,5.37E-07,-0.654239728,0.7935856,0.441261007,-0.70476204,0.336430189,55.8728952
BCL2,1.571395094,1.54E-56,5.57E-05,5.90E-05,0.000323254,0.000157284,0.000299575,1.33E-05,1.14E-05,5.00E-05,2.74E-05,5.06E-05,6.90E-05,7.03E-05,0.000373301,0.000184642,0.000350131,2.374349676,2.629623926,2.898972346,2.754690811,2.791946282,55.81247928
MFAP3,0.719611587,1.59E-56,1.92E-05,2.76E-05,0.00017569,0.000560928,0.000293084,6.40E-06,7.65E-06,2.80E-05,7.36E-05,4.87E-05,2.56E-05,3.52E-05,0.000203648,0.000634501,0.000341789,1.998840859,2.204062586,2.864739421,3.108364309,2.810958252,55.79860288
GNA14,2.04515119,1.84E-56,3.05E-07,-7.99E-08,1.06E-05,2.57E-08,4.34E-08,4.02E-07,3.66E-07,4.59E-07,6.23E-07,4.56E-07,7.07E-07,2.87E-07,1.10E-05,6.49E-07,4.99E-07,0.813438755,-0.354881259,4.587921984,0.058249996,0.131205433,55.73518218
EFCAB6,1.689896693,2.01E-56,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,55.69680394
PYY,4.402391777,2.10E-56,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,55.67778071
LZTFL1,0.860386289,2.33E-56,4.89E-05,1.95E-05,0.000151402,4.06E-06,0.000241546,1.06E-06,1.05E-06,1.43E-06,1.55E-06,1.94E-06,4.99E-05,2.06E-05,0.00015283,5.61E-06,0.000243487,5.558972244,4.285162571,6.742091097,1.856216628,6.971034615,55.63264408
RP1,3.530574171,3.39E-56,-1.16E-07,-1.19E-07,-1.47E-07,-1.45E-07,3.01E-06,3.29E-07,3.01E-07,3.78E-07,5.13E-07,3.76E-07,2.13E-07,1.81E-07,2.31E-07,3.68E-07,3.39E-06,-0.62774107,-0.730070379,-0.71152016,-0.479067324,3.171335403,55.4698003
TGFB3,1.301862141,3.52E-56,3.49E-05,2.47E-05,0.000147961,4.32E-06,0.000531698,8.44E-06,8.56E-06,2.11E-05,4.51E-06,8.73E-05,4.34E-05,3.33E-05,0.000169024,8.83E-06,0.000619034,2.360208997,1.960675766,3.004472671,0.968831431,2.825366985,55.45345734
NEK11,1.019161596,6.81E-56,1.80E-06,3.63E-06,1.16E-06,5.73E-07,3.56E-06,4.45E-07,4.06E-07,5.08E-07,6.90E-07,5.05E-07,2.24E-06,0.000004033,1.67E-06,1.26E-06,4.06E-06,2.333991416,3.312372844,1.716089389,0.872810875,3.008233769,55.16685289
KIAA1407,1.064257686,7.65E-56,3.41E-07,-1.68E-07,-1.77E-07,3.76E-07,-9.10E-08,3.71E-07,3.39E-07,4.23E-07,5.77E-07,4.18E-07,7.12E-07,1.71E-07,2.46E-07,9.53E-07,3.27E-07,0.939514697,-0.988836992,-0.781127624,0.72322242,-0.353682156,55.11633856
HMP19,4.129072824,8.50E-56,2.31E-06,3.15E-07,7.44E-06,1.26E-05,9.99E-06,4.65E-07,4.22E-07,5.31E-07,7.19E-07,5.26E-07,2.78E-06,7.37E-07,7.98E-06,1.34E-05,0.000010515,2.578632471,0.803560687,3.908358398,4.216325937,4.321297097,55.07058107
AMBP,3.700922061,9.84E-56,2.19E-07,4.76E-08,5.94E-07,3.97E-08,3.15E-06,4.03E-07,3.67E-07,4.62E-07,6.25E-07,4.59E-07,6.23E-07,4.14E-07,1.06E-06,6.65E-07,3.61E-06,0.62641291,0.176041768,1.192440073,0.088804687,2.974105622,55.0070049
STAM2,0.662321698,1.07E-55,5.09E-05,3.49E-05,0.000118321,0.000329146,0.000427654,6.87E-06,5.89E-06,1.28E-05,2.54E-05,4.18E-05,5.78E-05,4.08E-05,0.000131083,0.000354523,0.000469418,3.071491988,2.790301248,3.360599471,3.804280109,3.490524092,54.97061622
GLI3,1.40696266,1.11E-55,0.000364995,0.000270841,7.94E-07,2.25E-06,0.000164259,2.96E-05,2.64E-05,2.41E-06,2.91E-06,1.39E-05,0.000394583,0.000297285,3.21E-06,5.15E-06,0.000178157,3.737259343,3.490823435,0.410077686,0.826843734,3.680189598,54.95467702
UBR1,0.86744441,1.35E-55,0.000289038,0.000210778,8.56E-05,0.000102316,8.27E-05,7.25E-06,5.97E-06,3.33E-06,3.82E-06,2.73E-06,0.000296291,0.000216749,8.89E-05,0.000106138,8.54E-05,5.35221955,5.181819563,4.739990409,4.795647103,4.967536005,54.86966623
NBR1,0.743281459,2.22E-55,0.000013209,0.000004739,0.000030091,0.000011191,-0.000006081,0.000172783,0.000130566,0.000399626,0.00015506,9.95E-05,0.000185992,0.000135305,0.000429717,0.000166251,9.34E-05,0.10627929,0.051435892,0.104736403,0.100536448,-0.09097722,54.65364703
IQCD,1.251895483,2.37E-55,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,54.62525165
CASC4,0.706256148,3.02E-55,0.000020829,6.04E-07,0.00003086,-1.73E-07,-9.60E-06,0.000190299,0.000035508,0.000470984,4.77E-05,0.000196676,0.000211128,3.61E-05,0.000501844,4.75E-05,0.000187073,0.149849943,0.024338216,0.091560917,-0.00525567,-0.072219568,54.51999306
C10orf26,0.671414054,3.03E-55,0.000054958,0.000044026,0.000045786,0.000076403,0.000022069,0.000163435,0.000154535,0.000184431,0.000193585,0.000108435,0.000218393,0.000198561,0.000230217,0.000269988,0.000130504,0.418209642,0.361648661,0.3199132,0.479928117,0.26726353,54.51855737
BBS5,0.797141868,3.16E-55,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,54.50031292
ZNF442,1.200833676,3.75E-55,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,54.42596873
APPL2,0.754842398,3.82E-55,9.42E-05,0.000308644,0.000242734,9.09E-05,0.000100717,1.26E-05,4.36E-05,2.52E-05,1.13E-05,1.41E-05,0.00010678,0.000352288,0.000267938,0.000102154,0.000114784,3.088215595,3.01289018,3.410186033,3.179725506,3.028555477,54.41793664
RMND5B,0.764191678,4.22E-55,7.71E-05,0.000118236,7.27E-05,0.000150839,0.000292669,1.29E-06,1.21E-06,1.66E-06,1.93E-06,1.79E-06,7.84E-05,0.000119442,7.44E-05,0.000152765,0.000294458,5.920258603,6.629613555,5.488017881,6.309892157,7.362982424,54.37468755
SNTN,4.857399794,5.39E-55,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,54.26841123
EAPP,0.633276669,5.67E-55,0.00018369,0.000137731,0.000172034,0.000257915,0.000178001,3.94E-06,3.94E-06,4.16E-06,5.44E-06,5.44E-06,0.000187626,0.000141676,0.000176196,0.000263353,0.000183438,5.57492342,5.166503075,5.403812393,5.59780181,5.076343199,54.24641694
TBX3,1.675046133,7.07E-55,8.48E-05,6.02E-05,5.01E-06,1.56E-05,0.00053967,2.25E-05,1.45E-05,5.16E-06,7.52E-06,0.000125815,0.000107343,7.47E-05,1.02E-05,0.000023131,0.000665485,2.253481201,2.366808663,0.978932422,1.6210365,2.403102214,54.15058059
C2orf77,1.311169837,9.21E-55,6.35E-07,5.28E-07,6.23E-07,3.73E-07,1.68E-07,4.24E-07,3.88E-07,4.81E-07,6.57E-07,4.79E-07,1.06E-06,9.16E-07,1.10E-06,1.03E-06,6.47E-07,1.320453805,1.240823689,1.199073682,0.649231076,0.434122385,54.03574037
BAI2,2.037754263,9.59E-55,8.07E-05,7.11E-05,8.18E-05,9.26E-05,6.40E-05,1.08E-06,1.21E-06,9.20E-07,1.39E-06,9.86E-07,8.17E-05,7.23E-05,8.27E-05,9.39E-05,6.50E-05,6.239635172,5.899351563,6.490828547,6.083794131,6.04229787,54.01818139
SYNPO2L,5.188709077,1.08E-54,2.09E-05,3.41E-07,2.47E-05,9.41E-07,9.00E-07,4.58E-07,4.17E-07,5.23E-07,7.09E-07,5.19E-07,2.13E-05,7.58E-07,2.52E-05,1.65E-06,1.42E-06,5.542446176,0.862809388,5.589867308,1.218879235,1.4509383,53.96657624
CIRBP,0.949813683,1.09E-54,0.000014284,0.000007177,0.00001286,0.000018638,-0.000007404,0.000195094,0.000182962,0.000207635,0.000240123,0.000132431,0.000209378,0.000190139,0.000220495,0.000258761,0.000125027,0.101940452,0.055510437,0.086696289,0.107846596,-0.08300119,53.9625735
C19orf21,2.252105423,1.10E-54,0.000128901,0.000115657,0.000134656,0.000171204,8.64E-05,7.54E-07,7.12E-07,8.25E-07,1.15E-06,8.11E-07,0.000129655,0.000116369,0.000135481,0.000172353,8.72E-05,7.426312869,7.352109378,7.359183454,7.228404406,6.748549868,53.95860731
TMC5,2.602311847,1.12E-54,-9.73E-08,-2.70E-07,8.74E-05,1.47E-05,0.000468019,1.41E-06,1.30E-06,2.73E-06,2.25E-06,9.24E-06,1.31E-06,1.03E-06,9.01E-05,1.70E-05,0.000477262,-0.103495588,-0.337694799,5.042616771,2.914893008,5.690207803,53.95078198
PLEKHF2,1.282987062,1.24E-54,5.46E-07,0.000019388,0.000202928,0.000359273,0.000251314,5.10E-06,1.13E-05,9.37E-05,0.000130109,0.000116843,5.65E-06,3.07E-05,0.000296616,0.000489382,0.000368157,0.146797769,1.441327655,1.662657164,1.911240278,1.655749827,53.90657831
TAPT1,0.924375023,1.72E-54,4.69E-05,1.95E-05,7.20E-05,0.000291047,0.000333056,1.46E-06,1.26E-06,1.75E-06,2.55E-06,3.50E-06,4.83E-05,2.08E-05,7.38E-05,0.000293593,0.000336552,5.0488506,4.040842593,5.396347439,6.849163709,6.588819503,53.76447155
PBX1,1.24275864,2.85E-54,0.000028551,0.000021129,5.60E-06,-4.00E-06,-9.38E-06,0.000277023,0.000274959,0.000129441,7.51E-06,0.000140854,0.000305574,0.000296088,0.00013504,3.51E-06,0.000131474,0.141516034,0.106809512,0.061092151,-1.096802457,-0.099423011,53.54515514
GSTM3,2.049513266,3.18E-54,0.000532918,5.48E-05,0.000109796,1.98E-05,0.000125416,5.06E-05,6.27E-06,1.27E-05,4.75E-06,1.33E-05,0.000583499,6.11E-05,0.000122537,2.46E-05,0.000138724,3.528054162,3.284111791,3.265610401,2.371578771,3.381830045,53.49757288
C1orf168,2.842310149,3.61E-54,-1.74E-07,-1.25E-07,-1.47E-07,-1.55E-07,3.07E-06,3.31E-07,3.02E-07,3.78E-07,5.16E-07,3.77E-07,1.58E-07,1.77E-07,2.31E-07,3.61E-07,3.45E-06,-1.070706789,-0.76787688,-0.710002785,-0.514618349,3.193697735,53.4424928
ANKRD30A,3.676109087,3.62E-54,1.11E-07,3.90E-08,5.37E-09,9.65E-08,0.000478892,5.11E-07,4.78E-07,5.78E-07,7.73E-07,6.21E-07,6.22E-07,5.17E-07,5.84E-07,8.69E-07,0.000479513,0.284245791,0.113369171,0.013325702,0.169670688,9.593899752,53.44129143
CCDC65,2.463904854,3.84E-54,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,53.41566878
GUSBL1,1.499154815,4.23E-54,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,53.37365963
HRASLS2,1.995991527,4.45E-54,-8.70E-07,-7.24E-07,-6.81E-06,-1.03E-06,-1.28E-06,2.15E-06,1.17E-06,7.82E-06,1.62E-06,2.02E-06,1.28E-06,4.48E-07,1.01E-06,5.94E-07,7.39E-07,-0.74738616,-1.386479849,-2.954291301,-1.449456529,-1.45259733,53.35163999
MUM1L1,2.556355301,4.51E-54,2.02E-06,4.94E-07,1.51E-07,1.10E-07,3.74E-05,4.26E-07,3.88E-07,4.85E-07,6.60E-07,4.83E-07,2.45E-06,8.82E-07,6.36E-07,7.69E-07,3.79E-05,2.521888557,1.185194224,0.390168473,0.22189586,6.293212594,53.34582346
KLHDC7A,3.402154579,5.24E-54,4.61E-06,9.38E-08,1.47E-07,1.98E-07,0.000196873,1.33E-06,1.08E-06,1.22E-06,1.67E-06,4.71E-06,5.94E-06,1.17E-06,1.36E-06,1.86E-06,0.000201586,2.156616374,0.120301724,0.164527042,0.161685325,5.418553919,53.28066871
ASAH1,1.357192174,5.78E-54,0.000015635,6.00E-06,0.000022206,-0.000001204,-5.47E-06,0.000170389,0.000176907,0.000370266,0.000032963,0.000149002,0.000186024,0.000182907,0.000392472,0.000031759,0.000143529,0.126656563,0.048119154,0.084027653,-0.053682063,-0.053989433,53.23807216
COL4A3BP,0.849460333,1.20E-53,0.000176726,0.000214346,0.000175693,0.000354608,8.61E-05,9.83E-06,1.17E-05,8.80E-06,1.44E-05,5.41E-06,0.000186556,0.000226049,0.000184492,0.000369026,9.15E-05,4.246323435,4.271734537,4.390087994,4.677729476,4.081034199,52.92081875
TMEM150C,2.643433567,1.36E-53,9.06E-05,0.000222215,2.86E-05,4.30E-06,1.07E-05,1.04E-06,1.39E-06,1.14E-06,1.33E-06,1.09E-06,9.16E-05,0.000223605,2.98E-05,5.62E-06,1.17E-05,6.459741208,7.329910591,4.703581061,2.081703797,3.43215683,52.86646109
IQUB,2.445819505,1.45E-53,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,52.838632
RBM24,3.10250967,1.66E-53,1.47E-07,7.23E-07,2.22E-05,4.47E-05,3.96E-05,4.67E-07,4.25E-07,5.33E-07,7.24E-07,5.30E-07,6.14E-07,1.15E-06,2.27E-05,4.54E-05,4.01E-05,0.394134193,1.433716301,5.411029892,5.970695853,6.239843991,52.77989191
NDFIP1,0.63224885,2.00E-53,-2.60E-06,6.85E-06,0.000018029,0.000022908,-8.88E-06,1.08E-05,0.000238957,0.000303949,0.000302753,0.000135837,8.20E-06,0.000245805,0.000321978,0.000325661,0.000126957,-0.39653242,0.040763232,0.083132843,0.105229702,-0.097536559,52.69897
MAST4,1.642945402,2.69E-53,0.000215301,0.000193167,3.23E-05,3.13E-05,4.58E-05,2.22E-06,2.20E-06,1.63E-06,1.92E-06,1.48E-06,0.000217518,0.000195363,3.39E-05,3.32E-05,4.72E-05,6.616121938,6.474826655,4.379196778,4.109999792,4.993969291,52.57024772
C4A,2.169250015,2.73E-53,1.41E-05,0.000156496,-1.71E-06,-1.10E-06,0.000061976,3.86E-05,0.000391605,8.66E-06,9.74E-06,0.00015384,0.000052661,0.000548101,6.95E-06,8.63E-06,0.000215816,0.448878035,0.485042582,-0.31712383,-0.173381512,0.488371158,52.56383735
TRAF3IP1,0.59671203,2.83E-53,2.07E-05,2.96E-05,2.26E-05,3.81E-05,0.000105519,1.47E-06,1.31E-06,1.51E-06,2.61E-06,0.000002588,2.22E-05,3.09E-05,2.41E-05,4.07E-05,0.000108107,3.912259929,4.562138826,3.998659784,3.962001374,5.384478514,52.54821356
RAB26,2.080800219,3.16E-53,3.44E-06,2.86E-07,1.44E-05,-4.36E-08,-2.14E-08,4.25E-07,3.87E-07,4.86E-07,6.58E-07,4.83E-07,3.86E-06,6.73E-07,1.49E-05,6.15E-07,4.61E-07,3.18514861,0.798927211,4.940445738,-0.098917429,-0.065308816,52.50031292
DCDC1,3.039028443,4.98E-53,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,52.30277066
PTGR2,0.885600855,5.30E-53,6.80E-07,1.31E-06,1.77E-05,5.36E-06,1.26E-05,4.70E-07,4.27E-07,5.37E-07,7.26E-07,5.31E-07,1.15E-06,1.73E-06,1.82E-05,6.08E-06,1.31E-05,1.291419762,2.022272122,5.084025097,3.065838454,4.626793412,52.27572413
LOC389033,4.011138976,5.87E-53,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,52.2313619
THTPA,0.777448972,6.45E-53,3.29E-06,1.66E-06,5.06E-06,4.97E-06,3.03E-06,4.67E-07,4.25E-07,5.33E-07,7.23E-07,5.27E-07,3.75E-06,2.08E-06,5.59E-06,5.69E-06,3.56E-06,3.007544633,2.292279744,3.390113125,2.977433706,2.754005224,52.19044029
CSNK1G3,0.694172701,7.67E-53,8.39E-05,0.000139892,0.000118452,3.14E-05,0.000256088,3.80E-06,5.87E-06,5.97E-06,3.80E-06,9.94E-06,8.77E-05,0.000145763,0.000124419,3.52E-05,0.000266026,4.52900573,4.633832716,4.382049975,3.214431825,4.742401126,52.11520464
FYCO1,0.940352963,7.71E-53,4.58E-05,0.000120482,0.000147051,0.000203535,0.000336734,0.000016519,0.000036346,4.12E-05,5.15E-05,9.77E-05,6.23E-05,0.000156828,0.000188211,0.000255017,0.000434394,1.915462387,2.109314656,2.193022041,2.308447813,2.153158584,52.11294562
CGRRF1,0.689526767,1.16E-52,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,51.93554201
ACVR1B,0.730021867,1.21E-52,6.62E-05,0.000219363,0.000232866,0.0002218,0.000223477,1.22E-05,0.000034594,3.85E-05,3.73E-05,5.23E-05,7.84E-05,0.000253957,0.000271327,0.000259121,0.00027578,2.683874038,2.875990498,2.818571942,2.795562527,2.398541197,51.91721463
FAM57B,1.741982782,1.26E-52,-3.26E-06,-2.13E-06,-9.38E-07,-3.43E-06,-1.99E-06,3.91E-06,2.56E-06,1.23E-06,4.30E-06,2.29E-06,6.48E-07,4.26E-07,2.88E-07,8.73E-07,2.96E-07,-2.591095973,-2.584357814,-2.089542088,-2.300879216,-2.950671599,51.89962945
SPTLC2,0.982478469,1.34E-52,4.46E-06,0.000043356,0.000049096,2.69E-05,0.000047016,2.60E-05,0.0001272,0.000203506,8.95E-05,0.000317066,3.05E-05,0.000170556,0.000252602,0.000116333,0.000364082,0.22850911,0.423146838,0.311794732,0.378936062,0.199480236,51.8728952
PHGR1,4.601718212,1.97E-52,4.13E-07,-1.17E-08,-5.65E-08,1.76E-07,-6.66E-08,3.85E-07,3.50E-07,4.39E-07,5.99E-07,4.36E-07,7.98E-07,3.39E-07,3.83E-07,7.76E-07,3.69E-07,1.050061862,-0.049173098,-0.198528932,0.372139609,-0.23898442,51.70553377
PRLR,1.574565386,1.97E-52,-2.53E-06,-2.49E-06,0.000082996,1.89E-05,0.000170916,4.31E-06,3.64E-06,0.00015207,3.89E-05,0.000478338,1.77E-06,1.14E-06,0.000235066,5.78E-05,0.000649254,-1.279123062,-1.668036659,0.628330313,0.571860001,0.440752591,51.70553377
ELMOD2,0.771180444,2.14E-52,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,51.66958623
LFNG,1.602172054,2.18E-52,8.37E-05,0.000456804,1.14E-08,-2.52E-07,3.66E-07,1.73E-06,4.97E-06,1.10E-06,1.45E-06,1.06E-06,8.55E-05,0.000461773,1.11E-06,1.19E-06,1.43E-06,5.627146461,6.538180284,0.014974916,-0.276242559,0.427553532,51.66154351
SCAMP1,0.774606381,2.24E-52,0.000157407,0.000135237,0.000111109,2.46E-05,0.000059896,0.000158479,0.000132625,9.19E-05,0.000031416,0.000093449,0.000315886,0.000267862,0.000202967,5.60E-05,0.000153345,0.995112317,1.014137178,1.143760051,0.834058706,0.714529996,51.64975198
