Genes,log2FoldChange,padj,D_Basal_EvsT,D_Basal_myoepithelial_EvsT,D_Luminal_1_1_EvsT,D_Luminal_1_2_EvsT,D_Luminal_2_EvsT,Phi_Basal_TvsE,Phi_Basal_myoepithelial_TvsE,Phi_Luminal_1_1_TvsE,Phi_Luminal_1_2_TvsE,Phi_Luminal_2_TvsE,Phi_Basal_EvsT,Phi_Basal_myoepithelial_EvsT,Phi_Luminal_1_1_EvsT,Phi_Luminal_1_2_EvsT,Phi_Luminal_2_EvsT,log2FC_Basal_EvsT,log2FC_Basal_myoepithelial_EvsT,log2FC_Luminal_1_1_EvsT,log2FC_Luminal_1_2_EvsT,log2FC_Luminal_2_EvsT,LOG(padj)
FAM127B,-0.9204999,2.32E-49,-0.000412063,-0.000252155,-1.41E-05,-2.56E-05,-2.62E-05,0.000502408,0.000296413,1.67E-05,3.03E-05,2.98E-05,9.03E-05,4.43E-05,2.51E-06,4.64E-06,3.67E-06,-2.475334788,-2.743605079,-2.727936484,-2.706109134,-3.024517339,48.63451202
SEL1L3,-1.450521478,3.02E-49,-0.000199117,-0.000329388,-0.000165085,-2.73E-05,-1.17E-05,0.00020787,0.0003411,0.000171058,2.88E-05,0.000012293,8.75E-06,1.17E-05,5.97E-06,1.52E-06,6.08E-07,-4.569737106,-4.864147709,-4.839840154,-4.242061625,-4.338231854,48.51999306
DDN,-2.866821658,3.07E-49,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,48.51286162
RTKN,-0.807043293,3.14E-49,-5.64E-05,-0.000197903,-3.59E-05,-0.000242035,-0.000124283,8.03E-05,0.000288554,4.96E-05,0.00034983,0.000167612,0.000023841,9.07E-05,1.37E-05,0.000107795,4.33E-05,-1.75115911,-1.670440124,-1.856352252,-1.698363753,-1.951703947,48.50307035
TRMU,-0.92104798,3.24E-49,-1.82E-05,-3.91E-06,-7.12E-06,-1.74E-05,-3.18E-06,1.84E-05,4.02E-06,7.27E-06,1.76E-05,3.31E-06,1.42E-07,1.08E-07,1.49E-07,2.34E-07,1.30E-07,-7.018050602,-5.220122872,-5.612254672,-6.237432507,-4.669325648,48.48945499
RFWD3,-0.822654346,3.40E-49,-0.000187086,-0.000116019,-0.000188706,-0.000157821,-0.00017829,0.000228099,0.0001375,0.000227369,0.000193938,0.000213015,4.10E-05,2.15E-05,0.000038663,0.000036117,3.47E-05,-2.475489351,-2.678291841,-2.556010077,-2.424845543,-2.616925044,48.46852108
E2F2,-1.574869193,3.42E-49,-3.45E-05,-9.89E-06,-7.84E-05,-5.84E-06,-7.95E-06,3.46E-05,9.98E-06,7.85E-05,6.02E-06,8.05E-06,1.10E-07,8.97E-08,1.24E-07,1.80E-07,9.73E-08,-8.303546486,-6.79776961,-9.307315066,-5.06466204,-6.369804007,48.46597389
CAMKV,-5.231205614,3.48E-49,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,48.45842076
RPP40,-0.984767927,3.84E-49,-4.06E-06,-1.97E-06,-3.14E-06,-8.96E-06,-8.39E-06,4.24E-06,2.10E-06,3.35E-06,9.35E-06,8.56E-06,1.72E-07,1.28E-07,2.16E-07,3.93E-07,1.72E-07,-4.622735997,-4.032634188,-3.954333979,-4.573003552,-5.636280755,48.41566878
SNRPG,-0.817921218,3.90E-49,-0.0001699,-0.000154086,-0.000177693,-0.000224079,-0.000128289,0.000182969,0.000164664,0.000189803,0.000241488,0.000134741,1.31E-05,1.06E-05,1.21E-05,1.74E-05,6.45E-06,-3.807400655,-3.960359115,-3.970243939,-3.794071122,-4.384361273,48.40893539
AGTPBP1,-0.925521548,4.23E-49,-3.21E-05,-3.08E-05,-2.30E-05,-2.37E-05,-0.00013148,3.22E-05,0.000030866,2.32E-05,2.39E-05,0.000131594,1.27E-07,1.04E-07,1.50E-07,2.15E-07,1.14E-07,-7.991523414,-8.216374085,-7.275025674,-6.798660242,-10.17475638,48.37365963
